,code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
0,603999,读者传媒,0.549,7.32,7.29,7.37,7.28,7.28,695660.0,0.30194000000000004,5097356.0,25.241,2.528,421632.0,168652.8
1,603998,方盛制药,0.18,11.16,11.14,11.19,11.12,11.14,326600.0,0.07681,3642268.0,69.75,4.811,480925.10052,474519.53952
2,603997,继峰股份,-1.913,11.28,11.5,11.51,10.35,11.5,840351.0,0.49143000000000003,9455651.0,19.119,4.309,710640.0,192888.0
3,603996,中新科技,1.92,18.05,17.8,18.17,17.7,17.71,1313780.0,1.2721200000000001,23569642.0,46.282,3.814,541770.75,186411.375
4,603993,洛阳钼业,-1.708,6.33,6.39,6.4,6.21,6.44,38962452.0,0.30078000000000005,245632314.0,105.5,3.668,13672319.289039,8199711.532467
5,603991,至正股份,0.967,27.15,26.91,27.35,26.66,26.89,191300.0,1.02299,5185524.0,40.522,4.559,202362.51957,50770.5
6,603990,麦迪科技,1.226,34.69,33.88,34.8,33.56,34.27,57400.0,0.09523000000000001,1975219.0,46.253,6.844,280720.4994,209083.568
7,603989,艾华集团,2.001,38.24,37.71,38.88,37.6,37.49,1816600.0,2.15301,69706352.0,43.455,6.497,1147200.0,322650.0
8,603988,中电电机,-1.606,48.4,49.5,49.5,48.1,49.19,200250.0,0.16688,9728056.0,161.333,5.883,580800.0,580800.0
9,603987,康德莱,0.688,11.71,11.56,11.8,11.56,11.63,894065.0,0.47038,10503407.0,18.887,3.084,369374.385,222573.66795
10,603986,兆易创新,0.0,163.12,0.0,0.0,0.0,163.12,0.0,0.0,0.0,77.049,20.619,3306111.821008,2403497.3492
11,603985,恒润股份,0.955,35.93,35.28,36.25,35.09,35.59,191000.0,0.9550000000000001,6841672.0,22.761,2.946,287440.0,71860.0
12,603980,吉华集团,0.912,19.91,19.73,19.97,19.68,19.73,810118.0,0.8101200000000001,16107736.0,20.826,2.568,995500.0,199100.0
13,603979,金诚信,0.5,10.05,10.0,10.07,10.0,10.0,665306.0,0.27361,6675911.0,23.929,1.546,587925.0,244376.1216
14,603978,深圳新星,0.971,94.6,92.96,94.83,91.59,93.69,787739.0,3.9387,73519036.0,42.805,5.836,756800.0,189200.0
15,603977,国泰集团,0.623,12.93,12.81,13.12,12.73,12.85,868400.0,0.69096,11240805.0,21.915,3.053,285856.44,162504.24
16,603976,正川股份,2.949,27.23,26.25,27.27,26.18,26.45,1028691.0,3.80997,27734769.0,31.299,3.137,294084.0,73521.0
17,603970,中农立华,1.96,33.81,32.25,34.29,32.03,33.16,7982971.0,23.94887,263538328.0,41.373,8.955,450800.2254,112700.2254
18,603969,银龙股份,0.352,11.41,11.38,11.5,11.33,11.37,1694100.0,1.10994,19372038.0,31.694,2.8529999999999998,456400.0,174151.4005
19,603968,醋化股份,-0.05,19.8,19.78,19.87,19.73,19.81,233800.0,0.17116,4627414.0,27.5,3.149,404870.4,270468.0
20,603966,法兰泰克,1.623,15.65,15.36,15.98,15.25,15.4,531900.0,1.32975,8322780.0,33.298,3.127,250400.0,62600.0
21,603963,大理药业,9.114,30.05,27.68,30.29,27.67,27.54,5716957.0,22.86783,166356138.0,36.205,6.561,300500.0,75125.0
22,603960,克来机电,-1.638,27.63,27.35,27.96,26.73,28.09,709290.0,2.72804,19332833.0,46.05,6.911,287352.0,71838.0
23,603959,百利科技,0.347,28.91,28.52,29.28,28.52,28.81,291900.0,0.27613000000000004,8477620.0,54.547,7.13,647584.0,305609.844743
24,603958,哈森股份,-0.149,13.36,13.38,13.52,13.32,13.38,272600.0,0.41304,3652152.0,31.584,2.558,290392.96,88174.658656
